Date,AYRO,CENN,EVTV,FUV,GOEV,GP,KNDI,LCID,LI,NIO,PEV,PSNY,REE,RIVN,TSLA,VFS,VLCN,WKHS,XOS,XPEV,ZAPP
2004-07-13,1472486.375,,,,,,,,,,,,,,,,,,,,
2004-07-14,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-07-15,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-07-16,1507968.0,,,,,,,,,,,,,,,,,,,,
2004-07-19,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-07-20,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-07-21,1472486.375,,,,,,,,,,,,,,,,,,,,
2004-07-22,1454745.625,,,,,,,,,,,,,,,,,,,,
2004-07-23,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-07-26,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-07-27,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-07-28,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-07-29,1596672.0,,,,,,,,,,,,,,,,,,,,
2004-07-30,1596672.0,,,,,,,,,,,,,,,,,,,,
2004-08-02,1543449.625,,,,,,,,,,,,,,,,,,,,
2004-08-03,1490227.25,,,,,,,,,,,,,,,,,,,,
2004-08-04,1525708.75,,,,,,,,,,,,,,,,,,,,
2004-08-05,1419264.0,,,,,,,,,,,,,,,,,,,,
2004-08-06,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-08-09,1259596.75,,,,,,,,,,,,,,,,,,,,
2004-08-10,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-08-11,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-08-12,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-08-13,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-08-16,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-08-17,1153152.0,,,,,,,,,,,,,,,,,,,,
2004-08-18,1206374.375,,,,,,,,,,,,,,,,,,,,
2004-08-19,1153152.0,,,,,,,,,,,,,,,,,,,,
2004-08-20,1295078.375,,,,,,,,,,,,,,,,,,,,
2004-08-23,1295078.375,,,,,,,,,,,,,,,,,,,,
2004-08-24,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-08-25,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-08-26,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-08-27,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-08-30,1437004.75,,,,,,,,,,,,,,,,,,,,
2004-08-31,1153152.0,,,,,,,,,,,,,,,,,,,,
2004-09-01,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-09-02,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-09-03,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-09-07,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-09-08,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-09-09,1206374.375,,,,,,,,,,,,,,,,,,,,
2004-09-10,1206374.375,,,,,,,,,,,,,,,,,,,,
2004-09-13,1241856.0,,,,,,,,,,,,,,,,,,,,
2004-09-14,1330560.0,,,,,,,,,,,,,,,,,,,,
2004-09-15,1241856.0,,,,,,,,,,,,,,,,,,,,
